features__attributes__OBJECTID,features__attributes__Title,features__attributes__Type,features__attributes__IMDbLink,features__attributes__Address,features__attributes__Site,features__attributes__ShootDate,features__attributes__OriginalDetails,features__geometry__x,features__geometry__y,,,,,,,,,,,,,,,,,exceededTransferLimit
4580,All of Us,Political Ad Martin Heinrich,na,7100 Tramway Boulevard NE,Elena Gallegos Park,1350518400000,Elena Gallegos Park Tollefsrud Memorial,-106.497182825924,35.1583473211594,,,,,,,,,,,,,,,,,
4581,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,8801 Horizon Boulevard NE,Molina Healthcare,1304899200000,Molina Healthcare = 8801 Horizon NE - No ITC no closures,-106.600951418627,35.1847081450545,,,,,,,,,,,,,,,,,
4582,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,912 3rd Street NW,Production Office,1304899200000,Production Office - 912 3rd NW - no ITC/no closures,-106.648706003759,35.0933525674317,,,,,,,,,,,,,,,,,
4583,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,8801 Horizon Boulevard NE,Molina Healthcare,1304985600000,Molina Healthcare = 8801 Horizon NE - No ITC no closures,-106.600951418627,35.1847081450545,,,,,,,,,,,,,,,,,
4584,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,1 Civic Plaza NW,Albuquerque Civic Plaza,1305763200000,Civic Plaza - park area - no ITC/no closures,-106.649799149255,35.0873879689807,,,,,,,,,,,,,,,,,
4585,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,4700 Coal Avenue SE,Highland High School,1306972800000,Highland High School - no ITC/no closures,-106.593377312834,35.0756661617163,,,,,,,,,,,,,,,,,
4586,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,8020 Central Avenue SE,Fair N Square Food Store,1307404800000,Fair N' Square 8020 Central SE- no ITC/no closures,-106.557076411068,35.0745686178763,,,,,,,,,,,,,,,,,
4587,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,2401 Jefferson Street NE,Liberty Gym,1307664000000,Liberty Gym 2401 Jefferson NE - no ITC/no closure,-106.593238794414,35.1055884148088,,,,,,,,,,,,,,,,,
4588,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,2525 Tingley Drive SW,Tingley Beach Street driving scene,1307750400000,Tingley Drive - ITC Tingley btwn Alcalde and Marquez,-106.679226099349,35.0911798471526,,,,,,,,,,,,,,,,,
4589,As Cool As I Am,Movie,http://www.imdb.com/title/tt1906329/,6521 Americas Parkway NE ,Japanese Kitchen,1307750400000,Japanese Kitchen - no ITC/no closures,-106.572029098941,35.100548361021,,,,,,,,,,,,,,,,,
